seed,PDR_UL_per_node_avg(%),PDR_DL_per_node_avg(%),UL_Coverage(%),DL_Coverage(%),UL_Route_Coverage(%),DL_Route_Coverage(%),UL_delay_per_node_avg(ms),DL_delay_per_node_avg(ms),prr_parent(last)_avg
2,96.26,100.0,100.0,100.0,100.0,100.0,679.74,147.09,95.62
8,96.5,100.0,100.0,100.0,100.0,100.0,650.58,145.03,95.79
13,96.84,100.0,100.0,100.0,100.0,100.0,393.05,278.87,96.03
9,97.1,100.0,100.0,100.0,100.0,100.0,792.55,87.1,94.41
17,96.41,100.0,100.0,100.0,100.0,100.0,228.24,597.88,95.28
14,96.15,98.85,100.0,100.0,100.0,100.0,114.08,739.99,95.41
20,96.81,100.0,100.0,100.0,100.0,100.0,756.41,83.11,96.31
7,96.5,100.0,100.0,100.0,100.0,100.0,677.71,88.63,95.28
10,96.52,100.0,100.0,100.0,100.0,100.0,233.57,449.22,95.76
5,97.28,100.0,100.0,100.0,100.0,100.0,130.5,651.49,95.34
6,96.81,100.0,100.0,100.0,100.0,100.0,431.95,308.82,94.9
16,96.67,100.0,100.0,100.0,100.0,100.0,182.8,564.16,96.07
11,96.32,100.0,100.0,100.0,100.0,100.0,513.02,193.34,95.31
18,96.29,100.0,100.0,100.0,100.0,100.0,593.44,183.64,95.45
1,96.41,100.0,100.0,100.0,100.0,100.0,262.74,393.63,95.48
19,96.21,100.0,100.0,100.0,100.0,100.0,684.68,121.54,94.45
15,96.29,100.0,100.0,100.0,100.0,100.0,246.33,480.33,94.83
4,96.35,100.0,100.0,100.0,100.0,100.0,69.44,777.3,94.86
3,96.15,100.0,100.0,100.0,100.0,100.0,67.47,836.3,95.31
12,97.16,100.0,100.0,100.0,100.0,100.0,383.92,348.42,93.66
2,95.37,100.0,100.0,100.0,100.0,100.0,688.39,280.13,93.66
8,96.84,100.0,100.0,100.0,100.0,100.0,661.83,250.72,94.59
13,96.44,100.0,100.0,100.0,100.0,100.0,384.92,249.01,93.93
9,96.9,100.0,100.0,100.0,100.0,100.0,794.32,137.39,94.31
17,96.73,100.0,100.0,100.0,100.0,100.0,229.69,527.12,94.41
14,96.12,100.0,100.0,100.0,100.0,100.0,114.81,708.15,94.76
20,96.26,100.0,100.0,100.0,100.0,100.0,756.7,146.28,94.79
7,97.13,100.0,100.0,100.0,100.0,100.0,684.73,272.85,95.24
10,96.99,100.0,100.0,100.0,100.0,100.0,239.76,486.62,95.21
5,96.99,100.0,100.0,100.0,100.0,100.0,134.34,703.98,96.1
6,96.12,98.85,100.0,100.0,100.0,100.0,426.66,364.49,95.34
16,96.61,100.0,100.0,100.0,100.0,100.0,183.61,574.76,95.48
11,96.15,100.0,100.0,100.0,100.0,100.0,510.23,230.87,95.76
18,95.77,98.85,100.0,100.0,100.0,100.0,597.5,223.87,93.86
1,95.76,100.0,100.0,100.0,100.0,100.0,270.09,548.36,96.59
19,96.78,100.0,100.0,100.0,100.0,100.0,688.58,136.76,94.59
15,96.41,100.0,100.0,100.0,100.0,100.0,242.55,435.44,95.59
4,96.21,100.0,100.0,100.0,100.0,100.0,74.23,801.81,94.41
3,96.06,100.0,100.0,100.0,100.0,100.0,67.72,793.15,95.17
12,97.02,100.0,100.0,100.0,100.0,100.0,384.09,266.93,94.55
